Date,Region,City,Customer Type,Channel,Product,Category,Sales Rep,Unit Price,Quantity,Cost Price,COGS,Revenue,Profit
45676,West,Port Harcourt,Retail,Online,Office Chair Pro,Furniture,Chidinma,85000,1,68000,68000,85000,17000
45776,East,Lagos,Retail,Store,Blender B10,Home Appliances,Chidinma,30000,8,24000,192000,240000,48000
45715,East,Port Harcourt,Corporate,Online,Office Chair Pro,Furniture,David,85000,2,68000,136000,170000,34000
45772,South,Kano,Retail,Online,Microwave M20,Home Appliances,Musa,60000,2,48000,96000,120000,24000
45774,North,Kano,Corporate,Online,Desktop PC D21,Electronics,Chidinma,300000,2,240000,480000,600000,120000
45724,South,Abuja,Retail,Online,Air Conditioner X2,Home Appliances,Chidinma,180000,10,144000,1440000,1800000,360000
45725,South,Abuja,Corporate,Online,Sofa Classic,Furniture,Musa,320000,4,256000,1024000,1280000,256000
45694,South,Kano,Retail,Online,Sofa Classic,Furniture,Peter,320000,1,256000,256000,320000,64000
45740,East,Lagos,Retail,Store,Sofa Classic,Furniture,Musa,320000,9,256000,2304000,2880000,576000
45742,South,Lagos,Retail,Online,Sofa Classic,Furniture,Musa,320000,3,256000,768000,960000,192000
45681,South,Port Harcourt,Retail,Online,Printer P50,Electronics,Peter,150000,4,120000,480000,600000,120000
45677,West,Kano,Corporate,Online,Sofa Classic,Furniture,Peter,320000,7,256000,1792000,2240000,448000
45773,South,Port Harcourt,Retail,Store,Printer P50,Electronics,Aisha,150000,2,120000,240000,300000,60000
45731,West,Lagos,Retail,Online,Laptop A13,Electronics,Musa,420000,9,336000,3024000,3780000,756000
45733,North,Lagos,Retail,Online,Laptop A13,Electronics,Grace,420000,5,336000,1680000,2100000,420000
45758,West,Kano,Corporate,Store,Smartphone Z10,Electronics,Peter,250000,4,200000,800000,1000000,200000
45700,West,Lagos,Retail,Online,Refrigerator R55,Home Appliances,Peter,220000,2,176000,352000,440000,88000
45698,East,Kano,Retail,Store,Printer P50,Electronics,Musa,150000,7,120000,840000,1050000,210000
45719,South,Abuja,Corporate,Store,Desktop PC D21,Electronics,Peter,300000,5,240000,1200000,1500000,300000
45698,North,Kano,Retail,Online,Printer P50,Electronics,Peter,150000,4,120000,480000,600000,120000
45778,North,Kano,Corporate,Store,Office Chair Pro,Furniture,Grace,85000,1,68000,68000,85000,17000
45731,East,Port Harcourt,Retail,Store,Office Chair Pro,Furniture,David,85000,9,68000,612000,765000,153000
45751,East,Lagos,Retail,Store,Laptop A13,Electronics,Grace,420000,8,336000,2688000,3360000,672000
